date,code,name,source_main,source_manual,source_ebk,kdj_pass,total_score,score_macd,score_zjtj,score_kdj,score_rps,score_volume,score_finance,score_ml,volume_pass,ma_alignment_pass,price_position_pass,sl_tp_return,sl_tp_hold_days,sl_tp_exit_reason,return_2d,bench_2d,return_10d,bench_10d,return_30d,bench_30d,return_60d,bench_60d
2025-12-15,600237,XD铜峰电,True,True,True,False,58,7,20,6,10,0,0,15,False,True,False,11.04,28,STOP_LOSS,-0.67,-0.65,0.11,3.75,10.89,14.71,-1.56,11.75
2025-12-15,002669,康达新材,True,True,True,False,64,15,20,6,8,0,0,15,False,False,True,1.43,33,STOP_LOSS,-2.92,-0.65,7.92,3.75,6.42,14.71,-6.35,11.75
2025-12-18,301133,金钟股份,True,True,True,False,74,30,20,6,3,0,0,15,False,True,False,-14.81,2,STOP_LOSS,-14.81,2.39,7.45,6.17,-0.16,10.59,4.44,8.54
2025-12-22,601168,西部矿业,True,True,True,False,51,9,20,6,1,0,0,15,False,False,False,39.33,26,TAKE_PROFIT_50,-0.19,0.98,9.66,5.57,28.32,10.66,-3.5,6.95
2025-12-22,600238,*ST椰岛,True,True,True,False,60,15,20,6,4,0,0,15,False,False,False,-8.13,7,STOP_LOSS,-5.37,0.98,-8.27,5.57,-19.01,10.66,-25.11,6.95
2025-12-22,600221,海航控股,True,True,True,False,60,15,20,6,4,0,0,15,False,True,False,-8.42,11,STOP_LOSS,-5.79,0.98,-7.37,5.57,-7.89,10.66,-23.16,6.95
2025-12-22,600515,海南机场,True,True,True,False,49,15,6,6,7,0,0,15,False,False,True,-3.24,8,STOP_LOSS,3.43,0.98,-5.14,5.57,-12.19,10.66,-31.24,6.95
2025-12-22,600259,中稀有色,True,True,True,False,60,15,20,6,4,0,0,15,False,False,True,38.65,23,TAKE_PROFIT_50,-4.85,0.98,11.36,5.57,46.31,10.66,34.16,6.95
2025-12-23,300328,宜安科技,True,True,True,False,60,15,15,6,9,0,0,15,False,False,True,3.19,25,STOP_LOSS,4.11,2.15,6.93,6.71,-2.52,9.78,0.86,8.72
2025-12-23,603256,宏和科技,True,True,True,False,72,30,20,6,1,0,0,15,False,False,True,-4.43,13,STOP_LOSS,2.39,2.15,0.62,6.71,49.29,9.78,75.96,8.72
2025-12-23,601118,海南橡胶,True,True,True,False,60,15,20,6,4,0,0,15,False,False,False,-7.43,7,STOP_LOSS,-4.79,2.15,-3.14,6.71,11.06,9.78,12.87,8.72
2025-12-24,300553,集智股份,True,True,True,False,54,8,20,6,5,0,0,15,False,False,True,27.61,14,STOP_LOSS,4.59,1.0,21.54,6.81,10.65,8.64,2.18,7.64
2025-12-24,002429,兆驰股份,True,True,True,False,52,2,20,6,9,0,0,15,False,False,False,21.05,14,STOP_LOSS,5.11,1.0,4.31,6.81,26.51,8.64,31.36,7.64
2025-12-25,000636,风华高科,True,True,True,False,59,15,12,6,11,0,0,15,False,False,True,20.57,25,STOP_LOSS,-0.36,0.04,8.31,8.0,28.03,9.9,14.87,5.03
2025-12-26,301133,金钟股份,True,True,True,False,64,22,20,6,1,0,0,15,False,False,False,10.18,22,STOP_LOSS,5.87,-0.2,7.16,6.33,11.76,9.83,7.71,6.86
2025-12-29,688175,高凌信息,True,True,True,False,39,1,20,0,3,0,0,15,False,False,False,0.76,3,STOP_LOSS,10.65,0.06,5.12,7.33,25.04,10.06,25.39,5.39
2025-12-29,300337,银邦股份,True,True,True,False,74,28,20,6,5,0,0,15,False,True,False,23.67,9,STOP_LOSS,-0.7,0.06,10.56,7.33,-6.79,10.06,-19.46,5.39
2025-12-29,688081,兴图新科,True,True,True,False,74,30,20,6,3,0,0,15,False,True,True,9.51,11,STOP_LOSS,8.09,0.06,16.84,7.33,29.63,10.06,24.87,5.39
2025-12-31,002768,国恩股份,True,True,True,False,44,15,7,6,5,0,0,11,False,False,True,4.75,23,STOP_LOSS,0.61,3.24,8.3,6.96,1.18,9.61,-12.15,5.56
2026-01-05,003004,声迅股份,True,True,True,False,60,12,20,6,7,0,0,15,False,False,False,13.67,11,STOP_LOSS,10.29,1.8,19.09,5.88,17.98,9.57,21.6,7.82
2026-01-06,600184,光电股份,True,True,True,False,66,13,20,6,12,0,0,15,False,False,True,-8.32,10,STOP_LOSS,1.27,1.05,-8.32,3.89,-7.09,9.3,-4.01,6.04
2026-01-06,600459,贵研铂业,True,True,True,False,77,21,20,6,15,0,0,15,False,False,False,17.1,18,STOP_LOSS,-2.94,1.05,-0.76,3.89,12.45,9.3,-4.55,6.04
2026-01-06,300632,光莆股份,True,True,True,False,71,15,20,6,15,0,0,15,False,False,True,-6.85,16,STOP_LOSS,0.19,1.05,-3.33,3.89,-6.15,9.3,7.24,6.04
2026-01-06,002430,杭氧股份,True,True,True,False,56,13,20,6,2,0,0,15,False,True,False,0.54,6,STOP_LOSS,3.99,1.05,1.99,3.89,2.53,9.3,-7.16,6.04
2026-01-07,000657,中钨高新,True,True,True,False,73,28,20,6,4,0,0,15,False,False,False,38.48,13,TAKE_PROFIT_50,2.78,2.09,30.25,4.6,88.13,9.73,53.06,6.17
2026-01-08,600237,XD铜峰电,True,True,True,False,55,2,20,6,12,0,0,15,False,False,False,4.0,12,STOP_LOSS,0.21,3.35,9.04,4.86,14.72,10.08,-1.58,6.12
2026-01-09,301282,金禄电子,True,True,True,False,59,13,20,0,11,0,0,15,False,True,False,-3.83,2,STOP_LOSS,-3.83,0.51,-1.89,4.77,-1.71,7.74,33.09,5.85
2026-01-12,688175,高凌信息,True,True,True,False,82,28,20,6,13,0,0,15,False,True,False,-3.52,10,STOP_LOSS,-3.83,-0.64,-3.52,2.32,14.74,2.33,11.79,3.6
2026-01-13,002723,小崧股份,True,True,True,False,38,0,20,6,8,0,0,4,False,False,True,23.61,22,STOP_LOSS,1.94,0.52,-1.71,3.82,3.31,3.26,14.04,6.71
2026-01-15,600331,宏达股份,True,True,True,False,48,5,20,6,2,0,0,15,False,False,False,8.61,12,STOP_LOSS,-2.4,0.78,10.02,2.47,39.8,4.97,24.4,7.58
2026-01-16,300328,宜安科技,True,True,True,False,54,8,20,0,11,0,0,15,False,False,False,-7.94,9,STOP_LOSS,-4.76,0.39,-10.29,2.12,-1.15,4.14,-10.95,7.57
2026-01-16,301486,致尚科技,True,True,True,False,73,30,20,6,2,0,0,15,False,True,False,41.18,12,TAKE_PROFIT_50,-5.6,0.39,37.69,2.12,24.95,4.14,45.11,7.57
2026-01-19,688228,开普云,True,True,True,False,77,30,20,6,6,0,0,15,False,False,False,3.21,9,STOP_LOSS,3.52,0.58,-17.43,-1.69,-48.59,5.26,-54.21,7.87
2026-01-19,603662,柯力传感,True,True,True,False,81,30,20,6,10,0,0,15,False,False,False,-8.74,8,STOP_LOSS,-0.33,0.58,-9.74,-1.69,-14.06,5.26,-20.94,7.87
2026-01-20,605376,博迁新材,True,True,True,False,74,30,20,6,3,0,0,15,False,False,False,18.63,9,STOP_LOSS,5.07,2.02,22.99,1.1,32.32,6.09,55.7,7.33
2026-01-21,600459,贵研铂业,True,True,True,False,57,2,20,6,14,0,0,15,False,True,False,10.42,7,STOP_LOSS,8.27,2.29,0.96,0.37,0.64,4.29,-2.56,5.59
2026-01-21,603008,ST喜临门,True,True,True,False,59,4,20,6,14,0,0,15,False,False,False,-6.99,18,STOP_LOSS,0.95,2.29,-2.89,0.37,-15.6,4.29,-45.76,5.59
2026-01-21,301366,一博科技,True,True,True,True,67,8,20,10,14,0,0,15,False,False,False,-9.78,8,STOP_LOSS,-0.87,2.29,-8.67,0.37,-12.25,4.29,-5.07,5.59
2026-01-22,000737,北方铜业,True,True,True,False,42,0,20,6,1,0,0,15,False,False,False,16.54,7,STOP_LOSS,11.92,0.73,2.93,-1.61,-4.8,2.15,-14.54,5.32
2026-01-23,000878,云南铜业,True,True,True,False,56,7,20,6,8,0,0,15,False,False,False,19.07,5,STOP_LOSS,3.58,-0.51,-3.84,-2.66,-9.4,0.87,-19.05,3.11
2026-01-23,688158,优刻得,True,True,True,False,49,2,20,6,6,0,0,15,False,False,False,12.0,6,STOP_LOSS,20.48,-0.51,5.49,-2.66,30.7,0.87,37.84,3.11
2026-01-23,301236,软通动力,True,True,True,True,53,3,20,10,5,0,0,15,False,False,True,-9.99,6,STOP_LOSS,-1.44,-0.51,-11.62,-2.66,-12.67,0.87,-23.99,3.11
2026-01-23,300747,锐科激光,True,True,True,True,61,9,20,10,7,0,0,15,False,False,False,-9.15,3,STOP_LOSS,-7.38,-0.51,-15.13,-2.66,-12.19,0.87,-3.08,3.11
2026-01-26,002575,群兴玩具,True,True,True,False,61,15,20,6,5,0,0,15,False,False,True,7.71,7,STOP_LOSS,2.3,0.1,15.4,-0.15,22.73,-0.78,-1.44,4.73
2026-01-27,601899,紫金矿业,True,True,True,False,74,18,20,6,15,0,0,15,False,True,False,-1.16,3,STOP_LOSS,6.99,-0.82,-4.43,-0.13,-14.01,0.28,-18.0,4.51
2026-01-27,300738,奥飞数据,True,True,True,False,63,9,20,6,13,0,0,15,False,False,False,-6.57,6,STOP_LOSS,1.23,-0.82,3.6,-0.13,2.59,0.28,5.72,4.51
2026-01-28,603993,洛阳钼业,True,True,True,False,85,30,20,6,14,0,0,15,False,True,False,-9.47,2,STOP_LOSS,-9.47,-1.19,-13.66,-0.03,-33.58,-1.94,-27.51,6.58
2026-01-28,600711,盛屯矿业,True,True,True,False,55,3,20,6,11,0,0,15,False,True,False,-11.49,2,STOP_LOSS,-11.49,-1.19,-13.19,-0.03,-34.85,-1.94,-22.98,6.58
2026-01-29,601600,中国铝业,True,True,True,False,67,21,20,6,5,0,0,15,False,True,False,-18.98,2,STOP_LOSS,-18.98,-3.11,-15.86,1.36,-26.56,-2.87,-23.95,9.62
2026-01-29,600362,江西铜业,True,True,True,False,85,30,20,6,14,0,0,15,False,True,False,-19.0,2,STOP_LOSS,-19.0,-3.11,-19.7,1.36,-36.14,-2.87,-32.45,9.62
2026-01-29,000807,云铝股份,True,True,True,False,76,30,20,6,5,0,0,15,False,True,False,-12.92,2,STOP_LOSS,-12.92,-3.11,-15.57,1.36,-23.3,-2.87,-13.16,9.62
2026-01-30,603687,大胜达,True,True,True,False,47,1,20,6,5,0,0,15,False,True,False,-8.7,16,STOP_LOSS,-6.0,-0.57,0.96,0.75,28.09,-7.27,47.57,10.72
