date,code,name,source_main,source_manual,source_ebk,kdj_pass,return_2d,bench_2d,return_10d,bench_10d,return_30d,bench_30d,return_60d,bench_60d
2026-01-05,003004,声迅股份,True,True,True,False,10.29,1.8,19.09,5.9,17.98,9.66,21.6,7.92
2026-01-06,600459,贵研铂业,True,True,True,False,-2.94,1.05,-0.76,3.94,12.45,9.4,-4.55,6.14
2026-01-06,300632,光莆股份,True,True,True,False,0.19,1.05,-3.33,3.94,-6.15,9.4,7.24,6.14
2026-01-06,002430,杭氧股份,True,True,True,False,3.99,1.05,1.99,3.94,2.53,9.4,-7.16,6.14
2026-01-06,600184,光电股份,True,True,True,False,1.27,1.05,-8.32,3.94,-7.09,9.4,-4.01,6.14
2026-01-07,000657,中钨高新,True,True,True,False,2.78,2.07,30.25,4.65,88.13,9.83,53.06,6.27
2026-01-08,600237,XD铜峰电,True,True,True,False,0.21,3.31,9.04,4.91,14.72,10.18,-1.58,6.23
2026-01-09,301282,金禄电子,True,True,True,False,-3.83,0.5,-1.89,4.83,-1.71,7.88,33.09,5.97
2026-01-12,688175,高凌信息,True,True,True,False,-3.83,-0.63,-3.52,2.42,14.74,2.49,11.79,3.75
2026-01-13,002723,小崧股份,True,True,True,False,1.94,0.54,-1.71,3.91,3.31,3.41,14.04,6.85
2026-01-15,600331,宏达股份,True,True,True,False,-2.4,0.8,10.02,2.56,39.8,5.06,24.4,7.7
2026-01-16,301486,致尚科技,True,True,True,False,-5.6,0.42,37.69,2.21,24.95,4.2,45.11,7.68
2026-01-16,300328,宜安科技,True,True,True,False,-4.76,0.42,-10.29,2.21,-1.15,4.2,-10.95,7.68
2026-01-19,603662,柯力传感,True,True,True,False,-0.33,0.61,-9.74,-1.61,-14.06,5.3,-20.94,7.97
2026-01-19,688228,开普云,True,True,True,False,3.52,0.61,-17.43,-1.61,-48.59,5.3,-54.21,7.97
2026-01-20,605376,博迁新材,True,True,True,False,5.07,2.03,22.99,1.15,32.32,6.13,55.7,7.43
2026-01-21,603008,ST喜临门,True,True,True,False,0.95,2.29,-2.89,0.41,-15.6,4.34,-45.76,5.7
2026-01-21,600459,贵研铂业,True,True,True,False,8.27,2.29,0.96,0.41,0.64,4.34,-2.56,5.7
2026-01-21,301366,一博科技,True,True,True,True,-0.87,2.29,-8.67,0.41,-12.25,4.34,-5.07,5.7
2026-01-22,000737,北方铜业,True,True,True,False,11.92,0.74,2.93,-1.58,-4.8,2.2,-14.54,5.41
2026-01-23,000878,云南铜业,True,True,True,False,3.58,-0.49,-3.84,-2.64,-9.4,0.93,-19.05,3.23
2026-01-23,300747,锐科激光,True,True,True,True,-7.38,-0.49,-15.13,-2.64,-12.19,0.93,-3.08,3.23
2026-01-23,688158,优刻得,True,True,True,False,20.48,-0.49,5.49,-2.64,30.7,0.93,37.84,3.23
2026-01-23,301236,软通动力,True,True,True,True,-1.44,-0.49,-11.62,-2.64,-12.67,0.93,-23.99,3.23
2026-01-26,002575,群兴玩具,True,True,True,False,2.3,0.11,15.4,-0.15,22.73,-0.72,-1.44,4.83
2026-01-27,601899,紫金矿业,True,True,True,False,6.99,-0.79,-4.43,-0.12,-14.01,0.33,-18.0,4.61
