date,code,name,score_ml,total_score,kdj_pass,market_state
2023-06-09,600667,,13.5,53,False,strong
2023-06-14,688031,,13.5,62,False,strong
2023-06-15,300747,,13.5,68,False,strong
2023-06-16,002290,,13.5,64,False,strong
2023-06-29,300566,,13.5,76,False,strong
2023-06-29,301311,,10.5,71,False,strong
2023-06-30,603773,,13.5,82,False,strong
2023-06-30,603800,,13.5,78,False,strong
2023-06-30,002975,,12.9,78,False,strong
2023-07-03,603045,,13.5,67,False,strong
2023-07-04,301133,,13.5,88,False,strong
2023-07-04,002859,,13.5,70,False,strong
2023-07-06,688519,,11.3,91,False,choppy
2023-07-06,002429,,13.5,64,False,choppy
2023-07-17,688786,,12.9,66,False,strong
2023-07-26,301227,,10.5,83,False,strong
2023-07-26,002575,,12.9,79,False,strong
2023-07-26,002713,,13.5,61,False,strong
2023-07-31,600598,,10.5,67,False,strong
2023-07-31,002041,,13.5,65,False,strong
2023-07-31,601952,,12.9,61,False,strong
2023-08-03,002608,,13.5,59,False,strong
2023-08-08,000713,,13.5,61,False,strong
2023-08-10,600119,,13.5,68,True,strong
2023-08-11,000007,,13.5,65,False,choppy
2023-08-25,600008,,12.9,62,False,choppy
2023-08-29,001979,,13.5,69,False,strong
2023-08-29,600082,,13.5,65,False,strong
2023-09-01,600309,,12.9,80,False,strong
2023-09-01,000711,,13.5,60,False,strong
2023-09-04,600800,,12.9,75,False,strong
2023-09-06,300285,,13.5,66,False,strong
2023-09-21,300184,,13.5,62,False,choppy
2023-09-28,601137,,13.5,77,False,strong
2023-09-28,688028,,13.5,69,False,strong
2023-09-28,603890,,10.8,63,False,strong
2023-10-09,301128,,12.9,88,False,strong
2023-10-09,300184,,13.5,63,False,strong
2023-10-11,688288,,13.5,66,False,strong
2023-10-12,000700,,12.9,69,False,strong
2023-10-12,000908,,13.5,66,False,strong
2023-10-13,688767,,13.5,67,False,strong
2023-10-26,000700,,13.5,63,False,choppy
2023-10-27,002294,,13.5,70,False,choppy
2023-10-27,300563,,12.9,58,False,choppy
2023-10-30,603087,,11.3,82,False,choppy
2023-10-30,601137,,13.5,79,False,choppy
2023-10-31,301308,,13.5,81,False,choppy
2023-10-31,000908,,12.9,60,False,choppy
2023-11-03,300563,,13.5,67,False,strong
2023-11-03,002465,,10.5,65,False,strong
2023-11-03,300975,,10.5,57,False,strong
2023-11-06,000050,,13.5,65,False,strong
2023-11-06,688079,,13.5,64,False,strong
2023-11-07,688685,,13.5,66,False,strong
2023-11-08,000700,,13.5,67,False,strong
2023-11-10,301042,,10.5,68,False,strong
2023-11-10,301139,,10.4,64,False,strong
2023-11-20,300006,,13.5,60,False,strong
2023-12-01,600228,,13.5,70,False,choppy
2023-12-01,600936,,13.5,63,True,choppy
2023-12-04,300959,,12.9,74,False,choppy
2023-12-04,000620,,13.5,65,False,choppy
2023-12-06,002458,,12.9,67,False,choppy
2023-12-06,601811,,13.5,61,False,choppy
2023-12-07,300081,,12.9,75,False,choppy
2023-12-07,000681,,11.8,74,False,choppy
2023-12-08,300738,,13.5,67,False,choppy
2023-12-11,000917,,13.5,60,False,choppy
2023-12-12,000620,,13.5,65,False,strong
2023-12-12,600797,,13.5,59,False,strong
2023-12-12,002526,,10.5,56,False,strong
2023-12-14,600195,,13.5,64,False,strong
2023-12-15,300113,,12.9,60,False,choppy
2023-12-18,603389,,12.9,61,False,choppy
2023-12-19,300738,,12.9,65,False,choppy
2023-12-19,002306,,13.5,61,False,choppy
2023-12-21,301236,,12.9,67,False,choppy
2023-12-27,603668,,13.5,63,False,choppy
2023-12-29,688496,,13.5,90,False,strong
