date,code,name,score_ml,total_score,kdj_pass,market_state
2023-06-01,300184,,13.5,0,False,strong
2023-06-01,300975,,13.5,0,False,strong
2023-06-01,300285,,13.5,0,False,strong
2023-06-01,300516,,13.5,0,False,strong
2023-06-01,600764,,13.5,0,False,strong
2023-06-02,300516,,15.0,0,False,strong
2023-06-02,300285,,13.5,0,False,strong
2023-06-02,688143,,13.5,0,False,strong
2023-06-02,300184,,13.5,0,False,strong
2023-06-02,300975,,13.5,0,False,strong
2023-06-05,300285,,13.5,0,False,strong
2023-06-05,688143,,13.5,0,False,strong
2023-06-05,300184,,13.5,0,False,strong
2023-06-05,300975,,13.5,0,False,strong
2023-06-05,603890,,13.5,0,False,strong
2023-06-06,300285,,13.5,0,False,strong
2023-06-06,300184,,13.5,0,False,strong
2023-06-06,300975,,13.5,0,False,strong
2023-06-06,603890,,13.5,0,False,strong
2023-06-06,300308,,13.5,0,False,strong
2023-06-07,603212,,15.0,0,False,strong
2023-06-07,300285,,13.5,0,False,strong
2023-06-07,300308,,13.5,0,False,strong
2023-06-07,600487,,13.5,0,False,strong
2023-06-07,002281,,13.5,0,False,strong
2023-06-08,000601,,15.0,0,False,strong
2023-06-08,300726,,15.0,0,False,strong
2023-06-08,301013,,13.5,0,False,strong
2023-06-08,300285,,13.5,0,False,strong
2023-06-08,300308,,13.5,0,False,strong
2023-06-09,000601,,15.0,0,False,strong
2023-06-09,300726,,15.0,0,False,strong
2023-06-09,301013,,13.5,0,False,strong
2023-06-09,300285,,13.5,0,False,strong
2023-06-09,603890,,13.5,0,False,strong
2023-06-12,600487,,15.0,0,False,strong
2023-06-12,000601,,15.0,0,False,strong
2023-06-12,300726,,15.0,0,False,strong
2023-06-12,688777,,15.0,0,False,strong
2023-06-12,300285,,13.5,0,False,strong
2023-06-13,000601,,15.0,0,False,strong
2023-06-13,600869,,15.0,0,False,strong
2023-06-13,688777,,15.0,0,False,strong
2023-06-13,300285,,13.5,0,False,strong
2023-06-13,688143,,13.5,0,False,strong
2023-06-14,688143,,15.0,0,False,strong
2023-06-14,600869,,15.0,0,False,strong
2023-06-14,000601,,15.0,0,False,strong
2023-06-14,300285,,13.5,0,False,strong
2023-06-14,603890,,13.5,0,False,strong
2023-06-15,688143,,15.0,0,False,strong
2023-06-15,600869,,15.0,0,False,strong
2023-06-15,000601,,15.0,0,False,strong
2023-06-15,301013,,13.5,0,False,strong
2023-06-15,300285,,13.5,0,False,strong
2023-06-16,000601,,15.0,0,False,strong
2023-06-16,301312,,13.5,0,False,strong
2023-06-16,300285,,13.5,0,False,strong
2023-06-16,688143,,13.5,0,False,strong
2023-06-16,603890,,13.5,0,False,strong
2023-06-19,000601,,15.0,0,False,strong
2023-06-19,301312,,13.5,0,False,strong
2023-06-19,301013,,13.5,0,False,strong
2023-06-19,300285,,13.5,0,False,strong
2023-06-19,300308,,13.5,0,False,strong
2023-06-20,000601,,15.0,0,False,strong
2023-06-20,301013,,13.5,0,False,strong
2023-06-20,300285,,13.5,0,False,strong
2023-06-20,603890,,13.5,0,False,strong
2023-06-20,300308,,13.5,0,False,strong
2023-06-21,000601,,15.0,0,False,strong
2023-06-21,300285,,13.5,0,False,strong
2023-06-21,688143,,13.5,0,False,strong
2023-06-21,603890,,13.5,0,False,strong
2023-06-21,300308,,13.5,0,False,strong
2023-06-26,000601,,15.0,0,False,strong
2023-06-26,300668,,15.0,0,False,strong
2023-06-26,301013,,13.5,0,False,strong
2023-06-26,300285,,13.5,0,False,strong
2023-06-26,688143,,13.5,0,False,strong
2023-06-27,300668,,15.0,0,False,strong
2023-06-27,603890,,13.5,0,False,strong
2023-06-27,300308,,13.5,0,False,strong
2023-06-27,002281,,13.5,0,False,strong
2023-06-27,002897,,13.5,0,False,strong
2023-06-28,000601,,15.0,0,False,strong
2023-06-28,300668,,15.0,0,False,strong
2023-06-28,603728,,13.5,0,False,strong
2023-06-28,600114,,13.5,0,False,strong
2023-06-28,002975,,13.5,0,False,strong
2023-06-29,000601,,15.0,0,False,strong
2023-06-29,300668,,15.0,0,False,strong
2023-06-29,603728,,13.5,0,False,strong
2023-06-29,002975,,13.5,0,False,strong
2023-06-29,002281,,13.5,0,False,strong
2023-06-30,000601,,13.5,0,False,strong
2023-06-30,603728,,13.5,0,False,strong
2023-06-30,000951,,13.5,0,False,strong
2023-06-30,002897,,13.5,0,False,strong
2023-06-30,002429,,13.5,0,False,strong
2023-07-03,688017,,13.5,0,False,strong
2023-07-03,000601,,13.5,0,False,strong
2023-07-03,603728,,13.5,0,False,strong
2023-07-03,000951,,13.5,0,False,strong
2023-07-03,603890,,13.5,0,False,strong
2023-07-04,688017,,13.5,0,False,strong
2023-07-04,000601,,13.5,0,False,strong
