date,code,name,source_main,source_manual,source_ebk,kdj_pass,total_score,score_macd,score_zjtj,score_kdj,score_rps,score_volume,score_finance,score_ml,max_score,volume_pass,ma_alignment_pass,price_position_pass,rules_passed,rules_total,return_2d,bench_2d,return_10d,bench_10d,return_30d,bench_30d,return_60d,bench_60d,market_state,market_10d_past
2023-06-09,600667,,True,True,True,False,53,1,20,0,8,10,0,14,115,True,False,True,2,3,1.48,0.78,3.7,0.17,7.7,1.84,-1.19,-0.9,strong,6.11
2023-06-14,688031,,True,True,True,False,62,4,20,6,8,10,0,14,115,True,False,True,2,3,3.46,1.02,-3.45,0.78,-29.56,0.05,-42.66,-2.89,strong,8.18
2023-06-15,300747,,True,True,True,False,68,8,20,6,10,10,0,14,115,True,False,True,2,3,3.26,0.99,0.41,0.65,-1.9,0.51,-11.24,-2.34,strong,6.48
2023-06-16,002290,,True,True,True,False,64,4,20,6,10,10,0,14,115,True,False,True,2,3,7.23,-0.27,23.63,0.33,20.02,-0.32,11.77,-3.16,strong,9.73
2023-06-29,300566,,True,True,True,False,76,15,20,6,11,10,0,14,115,True,False,True,2,3,-0.11,1.46,1.06,1.33,-8.94,-0.15,-13.69,-4.49,strong,6.63
2023-06-29,301311,,True,True,True,False,71,17,20,6,8,10,0,10,115,True,True,True,3,3,7.19,1.46,-9.13,1.33,-18.15,-0.15,-26.33,-4.49,strong,6.63
2023-06-30,603773,,True,True,True,False,82,19,20,6,13,10,0,14,115,True,True,True,3,3,-0.37,0.6,-2.07,0.16,-9.06,-3.09,-6.2,-4.14,strong,6.72
2023-06-30,002975,,True,True,True,False,78,14,20,6,15,10,0,13,115,True,False,True,2,3,0.18,0.6,-6.52,0.16,-19.52,-3.09,-20.48,-4.14,strong,6.72
2023-06-30,603800,,True,True,True,False,78,15,20,6,13,10,0,14,115,True,False,True,2,3,6.83,0.6,9.58,0.16,14.93,-3.09,17.53,-4.14,strong,6.72
2023-07-03,603045,,True,True,True,False,67,5,20,6,12,10,0,14,115,True,False,True,2,3,21.08,-0.11,18.61,-0.17,5.47,-3.11,4.54,-4.91,strong,4.17
2023-07-04,002859,,True,True,True,False,70,11,20,6,9,10,0,14,115,True,False,True,2,3,2.94,-0.68,5.05,-0.76,-4.03,-4.18,-9.48,-5.94,strong,3.91
2023-07-04,301133,,True,True,True,False,88,25,20,6,13,10,0,14,115,True,True,True,3,3,1.64,-0.68,-3.95,-0.76,-12.22,-4.18,-4.06,-5.94,strong,3.91
2023-07-06,002429,,True,True,True,False,64,0,20,6,14,10,0,14,115,True,True,True,3,3,-3.13,-0.83,-6.81,-1.62,-8.47,-3.52,-12.52,-4.28,choppy,0.78
2023-07-06,688519,,True,True,True,False,91,30,20,6,14,10,0,11,115,True,False,True,2,3,-5.05,-0.83,-2.72,-1.62,-11.92,-3.52,-9.78,-4.28,choppy,0.78
2023-07-17,688786,,True,True,True,False,66,4,20,6,13,10,0,13,115,True,True,True,3,3,-0.47,-0.43,-7.54,-0.34,-14.76,-7.77,-14.03,-5.16,strong,2.84
2023-07-26,002575,,True,True,True,False,79,15,20,6,15,10,0,13,115,True,False,True,2,3,8.16,-0.25,0.35,-1.24,-2.08,-2.16,-7.29,-6.42,strong,6.74
2023-07-26,002713,,True,True,True,False,61,1,20,6,10,10,0,14,115,True,False,True,2,3,-1.91,-0.25,-7.36,-1.24,-5.15,-2.16,-13.4,-6.42,strong,6.74
2023-07-26,301227,,True,True,True,False,83,27,20,6,10,10,0,10,115,True,True,True,3,3,10.97,-0.25,0.59,-1.24,1.53,-2.16,-8.98,-6.42,strong,6.74
2023-07-31,601952,,True,True,True,False,61,2,20,6,10,10,0,13,115,True,True,True,3,3,-2.54,-0.3,-3.05,-2.99,-5.17,-3.29,-16.09,-4.85,strong,8.78
2023-07-31,600598,,True,True,True,False,67,9,20,6,12,10,0,10,115,True,True,True,3,3,-3.18,-0.3,-4.17,-2.99,-6.97,-3.29,-13.34,-4.85,strong,8.78
