date,code,name,source_main,source_manual,source_ebk,kdj_pass,total_score,score_macd,score_zjtj,score_kdj,score_rps,score_volume,score_finance,score_ml,max_score,volume_pass,ma_alignment_pass,price_position_pass,rules_passed,rules_total,return_2d,bench_2d,return_10d,bench_10d,return_30d,bench_30d,return_60d,bench_60d
2025-07-24,600881,,True,True,True,False,62,0,20,6,11,10,0,15,115,True,True,False,2,3,-3.14,0.2,-2.09,1.73,8.38,5.14,-0.52,13.05
2025-07-24,000572,,True,True,True,False,64,1,20,6,12,10,0,15,115,True,True,False,2,3,-8.33,0.2,-4.88,1.73,-1.42,5.14,15.24,13.05
2025-07-24,301219,,True,True,True,False,85,30,20,6,10,10,0,9,115,True,False,False,1,3,0.37,0.2,-2.38,1.73,16.88,5.14,15.77,13.05
2025-07-25,301092,,True,True,True,False,65,4,20,6,12,10,0,13,115,True,True,False,2,3,-0.33,0.36,0.27,1.61,-5.8,7.16,-3.64,13.95
2025-07-25,002980,,True,True,True,False,56,1,20,6,4,10,0,15,115,True,True,True,3,3,2.39,0.36,15.48,1.61,17.87,7.16,11.78,13.95
2025-07-28,605376,,True,True,True,False,56,8,20,6,1,10,0,11,115,True,True,False,2,3,2.37,-0.44,2.39,2.33,19.55,7.81,38.4,13.59
2025-07-28,603938,,True,True,True,False,52,2,20,6,1,10,0,13,115,True,True,False,2,3,-1.64,-0.44,1.31,2.33,-4.19,7.81,24.54,13.59
2025-07-30,688091,,True,True,True,False,72,6,20,6,15,10,0,15,115,True,False,False,1,3,2.96,-0.71,2.76,3.34,-23.87,7.65,-27.41,13.29
2025-08-01,300654,,True,True,True,False,51,5,20,6,5,10,0,5,115,True,False,False,1,3,-2.12,1.48,-8.54,4.25,-13.79,9.99,-12.69,14.95
2025-08-01,600222,,True,True,True,False,72,7,20,6,14,10,0,15,115,True,True,False,2,3,-5.14,1.48,2.64,4.25,-2.79,9.99,-3.52,14.95
2025-08-01,000908,,True,True,True,False,66,0,20,6,15,10,0,15,115,True,False,True,2,3,0.24,1.48,-3.41,4.25,-1.46,9.99,26.76,14.95
2025-08-01,688228,,True,True,True,False,67,16,20,6,5,10,0,10,115,True,False,True,2,3,-1.81,1.48,139.94,4.25,173.1,9.99,139.75,14.95
2025-08-04,301092,,True,True,True,False,59,1,20,0,13,10,0,15,115,True,True,False,2,3,3.55,1.25,1.64,4.67,-7.55,9.13,-6.58,13.23
2025-08-04,002315,,True,True,True,False,72,24,20,6,4,10,0,8,115,True,True,False,2,3,-5.0,1.25,-11.07,4.67,-18.11,9.13,-14.4,13.23
2025-08-04,300668,,True,True,True,False,53,4,20,0,4,10,0,15,115,True,False,False,1,3,0.81,1.25,-1.72,4.67,1.02,9.13,2.96,13.23
2025-08-05,002173,,True,True,True,False,62,4,20,6,11,10,0,11,115,True,True,False,2,3,7.64,0.52,53.05,4.17,54.16,9.23,46.03,12.85
2025-08-05,300538,,True,True,True,False,57,3,20,6,5,10,0,13,115,True,True,False,2,3,3.51,0.52,5.17,4.17,0.24,9.23,-3.74,12.85
2025-08-05,002937,,True,True,True,False,62,6,20,6,5,10,0,15,115,True,False,False,1,3,3.19,0.52,13.01,4.17,8.1,9.23,5.13,12.85
2025-08-06,002768,,True,True,True,False,75,17,20,6,14,10,0,8,115,True,True,False,2,3,1.33,-0.16,27.96,4.26,22.15,9.0,37.08,12.91
2025-08-06,002896,,True,True,True,False,75,30,20,6,2,10,0,7,115,True,True,False,2,3,1.74,-0.16,4.92,4.26,11.75,9.0,-5.86,12.91
2025-08-06,002421,,True,True,True,False,58,0,20,6,7,10,0,15,115,True,False,True,2,3,-2.32,-0.16,11.88,4.26,7.54,9.0,-14.49,12.91
2025-08-06,603687,,True,True,True,False,51,0,20,6,7,10,0,8,115,True,False,False,1,3,1.15,-0.16,0.64,4.26,13.33,9.0,16.03,12.91
