code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
300620,光库科技,光纤概念,14.165,12.2913,3.7474,70.41,55.95,99.32,11.22,,,0.0,主选股,14.85,1,9.23,26.5,18.56,,,,,,,,
300726,宏达电子,大飞机,3.723,3.6058,0.2344,52.16,54.24,48.01,9.25,,,0.0,主选股,8.43,1,1.53,6.29,7.76,,,,,,,,
600255,鑫科材料,铜缆高速连接,0.0394,0.0202,0.0384,63.23,54.03,81.64,3.94,,,0.0,主选股,9.92,1,6.68,3.91,8.42,,,,,,,,
600487,亨通光电,光纤概念,3.4505,3.4227,0.0557,72.37,58.02,101.08,7.96,,,0.0,主选股,10.01,1,17.93,19.75,10.14,,,,,,,,
600869,远东股份,PET铜箔,1.6583,1.5334,0.2499,78.11,64.85,104.65,13.93,,,0.0,主选股,10.01,1,15.38,22.13,17.58,,,,,,,,
601137,XD博威合,先进封装,0.3558,0.3419,0.0278,45.48,49.36,37.72,2.34,✓,,1.0,主选股,10.02,1,3.26,-1.37,4.16,,,,,,,,
688396,华润微,国家大基金持股,3.3092,3.2913,0.0358,61.87,63.5,58.61,7.25,,,0.0,主选股,3.13,1,-3.08,5.08,5.41,,,,,,,,
000608,阳光股份,,0.1841,0.0786,0.2111,80.89,71.15,100.37,17.56,,,,手工选股,-2.23,1,15.87,26.84,20.2,,手工:000608,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,0.4344,0.0274,0.814,75.01,63.12,98.78,10.49,,,,手工选股,0.99,1,4.02,11.43,17.45,,手工:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300308,中际旭创,,89.9613,86.0887,7.7453,81.69,80.49,84.09,13.54,,,,龙头EBK,5.47,1,-0.52,8.05,15.71,,龙头:300308,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
300502,新易盛,,47.9256,38.6882,18.4748,85.12,80.54,94.27,16.65,,,,龙头EBK,9.88,1,3.99,6.71,30.48,,龙头:300502,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000539,粤电力Ａ,,0.5987,0.3542,0.4891,82.79,69.33,109.72,26.61,,,,龙头EBK,-6.55,1,13.14,36.88,29.87,,龙头:000539,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600546,山煤国际,,0.4118,0.3562,0.1113,66.19,59.05,80.48,6.44,,,,龙头EBK,-5.57,1,5.41,8.18,5.8,,龙头:600546,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600293,三峡新材,,0.0226,0.0096,0.0259,52.31,54.13,48.67,2.38,,,,龙头EBK,-0.3,1,-3.21,-1.19,2.15,,龙头:600293,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600007,中国国贸,,0.0637,0.0309,0.0655,72.32,61.42,94.11,1.31,,,,龙头EBK,0.28,1,3.22,2.25,4.01,,龙头:600007,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000582,北部湾港,,0.5903,0.5114,0.1578,70.76,64.66,82.96,9.07,,,,龙头EBK,6.28,1,5.16,6.68,10.02,,龙头:000582,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002568,百润股份,,0.4606,0.2522,0.4168,74.95,63.31,98.22,8.26,,,,龙头EBK,-1.54,1,7.69,9.29,11.81,,龙头:002568,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
001210,金房能源,,2.6835,2.1493,1.0683,80.98,69.91,103.14,20.99,,,,龙头EBK,10.0,1,27.5,28.57,21.77,,龙头:001210,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002938,鹏鼎控股,,10.5499,10.0822,0.9355,59.55,66.19,46.25,16.5,,,,龙头EBK,8.27,1,5.56,-3.54,18.88,,龙头:002938,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002975,博杰股份,,15.0325,13.6527,2.7596,77.76,74.1,85.06,22.35,,,,龙头EBK,10.0,1,10.65,17.04,24.75,,龙头:002975,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002579,中京电子,,1.5356,0.8269,1.4174,88.7,81.05,104.02,35.3,,,,龙头EBK,10.02,1,14.13,38.03,56.33,,龙头:002579,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,0.4344,0.0274,0.814,75.01,63.12,98.78,10.49,,,,龙头EBK,0.99,1,4.02,11.43,17.45,,龙头:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000519,中兵红箭,,0.4168,0.2294,0.375,66.91,65.63,69.47,7.37,,,,龙头EBK,0.78,1,-0.46,4.97,11.47,,龙头:000519,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
