code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
000063,中兴通讯,AI手机,0.1735,0.0545,0.2379,62.02,48.02,90.03,2.53,,,0.0,66.0,主选股,6.33,1,7.82,6.59,9.82,,,,,,,,
300666,江丰电子,OLED,9.1156,9.0036,0.224,67.31,58.75,84.43,7.16,,,0.0,66.0,主选股,16.18,1,6.82,7.48,14.1,,,,,,,,
601208,东材科技,BC电池,4.2456,4.0763,0.3387,77.52,72.66,87.23,13.02,,,0.0,66.0,主选股,10.0,1,0.03,16.11,11.86,,,,,,,,
688456,有研粉材,3D打印,5.6511,5.5202,0.2618,63.61,51.03,88.78,10.85,,,0.0,66.0,主选股,1.23,1,19.14,25.36,12.95,,,,,,,,
000608,阳光股份,,0.4781,0.2615,0.4333,93.25,86.97,105.81,35.01,,,,,手工选股,9.97,2,27.49,32.78,68.42,,手工:000608,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,1.1674,0.6576,1.0196,86.85,83.48,93.6,15.38,,,,,手工选股,4.12,2,4.08,10.13,22.72,,手工:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603859,能科科技,,1.6779,1.1068,1.1422,70.0,52.24,105.52,11.4,,,,,龙头EBK,6.18,2,28.46,22.31,14.68,,龙头:603859,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002570,贝因美,,0.0908,0.0289,0.1238,57.15,60.86,49.73,7.11,,,,,龙头EBK,1.71,2,-6.29,4.89,10.52,,龙头:002570,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603861,白云电器,,0.3509,0.1311,0.4396,70.37,65.51,80.08,8.21,,,,,龙头EBK,-2.3,2,3.05,3.89,16.86,,龙头:603861,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
000333,美的集团,,0.7447,0.6694,0.1508,74.19,69.34,83.9,1.75,,,,,龙头EBK,-0.59,2,-0.07,-0.29,3.53,,龙头:000333,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300081,ST恒信,,0.0486,0.0127,0.0718,70.54,61.14,89.34,4.97,,,,,龙头EBK,1.85,2,2.56,1.61,11.08,,龙头:300081,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300502,新易盛,,55.7002,49.7982,11.8042,67.39,71.99,58.19,14.4,,,,,龙头EBK,8.38,2,1.26,5.18,12.25,,龙头:300502,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300373,扬杰科技,,6.342,6.1903,0.3033,46.89,54.05,32.57,8.82,,,,,龙头EBK,14.21,1,2.26,6.29,10.19,,龙头:300373,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002164,宁波东力,,0.0817,0.0311,0.1011,61.0,41.17,100.66,3.42,,,,,龙头EBK,-0.89,1,18.81,14.32,3.27,,龙头:002164,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002354,天娱数科,,0.2432,0.2074,0.0718,67.44,51.69,98.94,7.85,,,,,龙头EBK,9.96,1,33.22,20.3,12.73,,龙头:002354,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300234,开尔新材,,0.5728,0.4963,0.153,80.57,73.05,95.6,13.59,,,,,龙头EBK,1.07,2,11.16,10.26,10.9,,龙头:300234,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600293,三峡新材,,0.1706,0.0779,0.1854,76.32,71.11,86.74,18.54,,,,,龙头EBK,-2.42,2,11.94,21.39,19.94,,龙头:600293,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
