code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
601116,三江购物,龙头:601116,✗MACD | ✗ZJTJ,-0.4615,-0.4114,-0.1002,-6.97,24.94,35.77,3.28,✗,✗,✗,✗,✗,-2.06,0,-5.47,-8.94,-5.0,
603859,能科科技,龙头:603859,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,1.6779,1.1068,1.1422,11.4,70.0,52.24,105.52,✓,✓,✓,✗,✓,6.18,2,28.46,22.31,14.68,
600422,昆药集团,龙头:600422,✗MACD | ✗ZJTJ,-0.3569,-0.4125,0.1113,-3.81,20.7,34.06,-6.01,✗,✗,✗,✗,✗,-2.35,0,-4.27,-8.89,-1.54,
603596,伯特利,龙头:603596,✗MACD | ✗ZJTJ,-0.5036,0.0389,-1.0849,-9.43,12.56,22.95,-8.22,✗,✗,✗,✗,✗,-3.85,0,-11.27,-12.43,-18.05,
603583,捷昌驱动,龙头:603583,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.3702,-1.3942,0.048,-6.5,38.62,26.31,63.25,✗,✗,✓,✗,✗,-1.08,0,4.45,2.03,-8.96,
301206,三元生物,龙头:301206,✗MACD | ✗ZJTJ,-0.7729,-0.5267,-0.4924,-7.98,12.6,12.71,12.37,✗,✗,✗,✗,✗,0.38,0,-2.45,-6.16,-8.6,
002570,贝因美,龙头:002570,✓MACD买入 | ✓ZJTJ控盘,0.0908,0.0289,0.1238,7.11,57.15,60.86,49.73,✓,✓,✗,✗,✓,1.71,2,-6.29,4.89,10.52,
603127,昭衍新药,龙头:603127,✗MACD | ✗ZJTJ,-1.6126,-0.8176,-1.5902,-14.48,8.79,11.91,2.55,✗,✗,✗,✗,✗,0.19,0,-5.95,-4.67,-16.14,
688032,禾迈股份,龙头:688032,✗MACD | ✗ZJTJ | ✓KDJ买入,-5.9683,-4.8792,-2.1782,-12.29,11.97,10.78,14.35,✗,✗,✓,✗,✗,1.31,0,-2.43,-5.69,-10.07,
603861,白云电器,龙头:603861,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长,0.3509,0.1311,0.4396,8.21,70.37,65.51,80.08,✓,✓,✓,✓,✓,-2.3,2,3.05,3.89,16.86,
603178,圣龙股份,龙头:603178,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.5446,-0.1824,-0.7243,-10.99,16.25,13.57,21.62,✗,✗,✓,✗,✗,-0.41,0,-1.23,-2.04,-10.15,
002192,融捷股份,龙头:002192,✗MACD | ✗ZJTJ | ✓KDJ买入,-2.7252,-1.3648,-2.7207,-9.86,25.79,18.63,40.11,✗,✗,✓,✗,✗,6.46,0,3.67,-1.8,-5.07,
300363,博腾股份,龙头:300363,✗MACD | ✗ZJTJ,-1.585,-1.604,0.0381,-13.67,8.41,8.88,7.48,✗,✗,✗,✗,✗,1.28,0,-3.51,-4.53,-10.72,
300759,康龙化成,龙头:300759,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.4963,-1.2416,-0.5094,-12.3,10.44,9.53,12.25,✗,✗,✓,✗,✗,0.41,0,-3.39,-7.65,-12.94,
300100,双林股份,龙头:300100,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.0646,0.1343,-0.3978,-2.53,34.75,30.02,44.22,✗,✗,✓,✗,✗,-0.75,0,2.76,5.37,-10.2,
002553,南方精工,龙头:002553,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.3072,-1.3313,0.0482,-8.32,36.66,21.8,66.4,✗,✗,✓,✗,✗,1.3,0,4.13,2.02,-6.93,
600732,爱旭股份,龙头:600732,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.8876,-0.7607,-0.2537,-13.8,11.79,10.8,13.79,✗,✗,✓,✗,✗,2.52,0,-4.69,-6.96,-15.55,
002697,红旗连锁,龙头:002697,✗MACD | ✗ZJTJ,-0.0957,-0.0946,-0.0022,-3.19,21.18,31.39,0.74,✗,✗,✗,✗,✗,-1.5,0,-0.86,-5.36,-2.34,
000333,美的集团,龙头:000333,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.7447,0.6694,0.1508,1.75,74.19,69.34,83.9,✓,✓,✓,✗,✓,-0.59,2,-0.07,-0.29,3.53,
002252,上海莱士,龙头:002252,✗MACD | ✗ZJTJ,-0.1255,-0.1196,-0.0117,-3.84,17.95,26.13,1.6,✗,✗,✗,✗,✗,-0.78,0,-1.56,-3.62,-3.8,
