date,code,name,score_ml,total_score,max_score,market_state
2023-06-01,688332,,14,90,115,strong
2023-06-01,603728,,14,90,115,strong
2023-06-01,300709,,13,62,115,strong
2023-06-01,301013,,13,94,115,strong
2023-06-01,600150,,14,64,115,strong
2023-06-01,688017,,14,90,115,strong
2023-06-01,300853,,14,54,115,strong
2023-06-02,688700,,14,88,115,strong
2023-06-02,688597,,14,57,115,strong
2023-06-02,300709,,13,57,115,strong
2023-06-02,300308,,14,92,115,strong
2023-06-02,603773,,13,81,115,strong
2023-06-02,600150,,13,59,115,strong
2023-06-02,603618,,12,69,115,strong
2023-06-02,002281,,14,86,115,strong
2023-06-05,002429,,14,81,115,strong
2023-06-05,300709,,14,56,115,strong
2023-06-05,300308,,14,94,115,strong
2023-06-05,600667,,14,68,115,strong
2023-06-05,603990,,14,81,115,strong
2023-06-05,002281,,14,88,115,strong
2023-06-06,688700,,13,90,115,strong
2023-06-06,688498,,13,88,115,strong
2023-06-06,002429,,14,81,115,strong
2023-06-06,300308,,14,88,115,strong
2023-06-06,603773,,12,83,115,strong
2023-06-06,600667,,14,56,115,strong
2023-06-06,603990,,14,70,115,strong
2023-06-06,603618,,13,57,115,strong
2023-06-07,002429,,14,83,115,strong
2023-06-07,600667,,14,57,115,strong
2023-06-07,300308,,14,88,115,strong
2023-06-07,301013,,13,88,115,strong
2023-06-07,300757,,14,88,115,strong
2023-06-07,300005,,14,75,115,strong
2023-06-07,603990,,14,69,115,strong
2023-06-07,688079,,13,69,115,strong
2023-06-07,002281,,14,88,115,strong
2023-06-08,002429,,14,83,115,strong
2023-06-08,002281,,13,77,115,strong
2023-06-08,300308,,14,88,115,strong
2023-06-08,301013,,14,89,115,strong
2023-06-08,300757,,13,89,115,strong
2023-06-08,603990,,14,65,115,strong
2023-06-08,688111,,14,82,115,strong
2023-06-09,301128,,13,66,115,strong
2023-06-09,603990,,14,71,115,strong
2023-06-09,688111,,14,89,115,strong
2023-06-09,300308,,14,88,115,strong
2023-06-09,600667,,14,53,115,strong
2023-06-09,301013,,14,89,115,strong
2023-06-09,300757,,12,88,115,strong
2023-06-09,002281,,14,94,115,strong
2023-06-09,002429,,14,75,115,strong
2023-06-12,688498,,13,94,115,strong
2023-06-12,603990,,14,73,115,strong
2023-06-12,688111,,14,89,115,strong
2023-06-12,600498,,13,92,115,strong
2023-06-12,300308,,14,94,115,strong
2023-06-12,300757,,13,89,115,strong
2023-06-12,002281,,14,94,115,strong
2023-06-12,300975,,14,72,115,strong
2023-06-12,002429,,14,81,115,strong
2023-06-13,603990,,14,66,115,strong
2023-06-13,688111,,13,90,115,strong
2023-06-13,002197,,13,88,115,strong
2023-06-13,600498,,13,91,115,strong
2023-06-13,300308,,14,94,115,strong
2023-06-13,002281,,14,94,115,strong
2023-06-13,002491,,14,72,115,strong
2023-06-13,300975,,14,72,115,strong
2023-06-13,002429,,14,80,115,strong
2023-06-13,300113,,14,82,115,strong
2023-06-13,300826,,13,83,115,strong
2023-06-13,002555,,14,88,115,strong
2023-06-13,600839,,14,79,115,strong
2023-06-14,603990,,14,55,115,strong
2023-06-14,688111,,13,85,115,strong
2023-06-14,002197,,13,81,115,strong
2023-06-14,688031,,14,62,115,strong
2023-06-14,300308,,14,94,115,strong
2023-06-14,002281,,13,93,115,strong
2023-06-14,002491,,13,78,115,strong
2023-06-14,300042,,14,59,115,strong
2023-06-14,300975,,14,68,115,strong
2023-06-14,002429,,14,71,115,strong
2023-06-14,300113,,14,84,115,strong
2023-06-14,002555,,14,90,115,strong
2023-06-14,600839,,14,70,115,strong
2023-06-15,300747,,14,68,115,strong
2023-06-15,603990,,14,55,115,strong
2023-06-15,688111,,13,83,115,strong
2023-06-15,688031,,14,90,115,strong
2023-06-15,300308,,14,94,115,strong
2023-06-15,301013,,14,62,115,strong
2023-06-15,002281,,14,94,115,strong
2023-06-15,002491,,14,80,115,strong
2023-06-15,300042,,14,52,115,strong
2023-06-15,300975,,14,63,115,strong
2023-06-15,002429,,14,67,115,strong
2023-06-15,300113,,14,81,115,strong
2023-06-15,002555,,14,89,115,strong
2023-06-16,300747,,14,88,115,strong
2023-06-16,600487,,14,64,115,strong
2023-06-16,688111,,13,84,115,strong
2023-06-16,002197,,13,72,115,strong
2023-06-16,000938,,13,89,115,strong
2023-06-16,688031,,14,88,115,strong
2023-06-16,300308,,14,94,115,strong
2023-06-16,301013,,13,58,115,strong
2023-06-16,000977,,14,90,115,strong
2023-06-16,002491,,14,76,115,strong
2023-06-16,300042,,14,59,115,strong
2023-06-16,000070,,13,83,115,strong
2023-06-16,300975,,14,58,115,strong
2023-06-16,002429,,14,62,115,strong
2023-06-16,300113,,14,63,115,strong
2023-06-16,002555,,14,90,115,strong
2023-06-16,002290,,14,64,115,strong
2023-06-16,600839,,14,76,115,strong
2023-06-16,600602,,14,90,115,strong
2023-06-19,600487,,13,63,115,strong
2023-06-19,002649,,13,81,115,strong
2023-06-19,002851,,14,59,115,strong
2023-06-19,300134,,14,69,115,strong
2023-06-19,688256,,14,59,115,strong
2023-06-19,688111,,13,91,115,strong
2023-06-19,000938,,14,90,115,strong
2023-06-19,600498,,14,90,115,strong
2023-06-19,300308,,14,94,115,strong
2023-06-19,301013,,14,59,115,strong
2023-06-19,688017,,14,89,115,strong
2023-06-19,002281,,13,93,115,strong
2023-06-19,000977,,14,90,115,strong
2023-06-19,300975,,14,58,115,strong
2023-06-19,002429,,14,61,115,strong
2023-06-19,300770,,14,91,115,strong
2023-06-19,300113,,13,75,115,strong
2023-06-19,002555,,14,91,115,strong
2023-06-19,002290,,14,80,115,strong
2023-06-19,600839,,14,75,115,strong
2023-06-20,600487,,14,64,115,strong
2023-06-20,002851,,14,93,115,strong
2023-06-20,002579,,14,91,115,strong
2023-06-20,603662,,14,88,115,strong
2023-06-20,603728,,14,88,115,strong
2023-06-20,688111,,13,89,115,strong
2023-06-20,000938,,14,90,115,strong
2023-06-20,600498,,13,83,115,strong
2023-06-20,300308,,14,94,115,strong
2023-06-20,301013,,14,59,115,strong
2023-06-20,000977,,14,90,115,strong
2023-06-20,000070,,14,84,115,strong
2023-06-20,002429,,14,68,115,strong
2023-06-20,300113,,14,60,115,strong
2023-06-20,002555,,14,92,115,strong
2023-06-20,002290,,14,92,115,strong
2023-06-20,601138,,13,87,115,strong
2023-06-21,600487,,13,63,115,strong
2023-06-21,002897,,14,88,115,strong
2023-06-21,688256,,13,92,115,strong
2023-06-21,688111,,12,88,115,strong
2023-06-21,000938,,14,91,115,strong
2023-06-21,300308,,14,94,115,strong
2023-06-21,688017,,14,93,115,strong
2023-06-21,000977,,14,91,115,strong
2023-06-21,600845,,13,87,115,strong
2023-06-21,000070,,14,68,115,strong
2023-06-21,002429,,14,62,115,strong
2023-06-21,300113,,14,54,115,strong
2023-06-21,002555,,14,84,115,strong
2023-06-21,002290,,14,90,115,strong
2023-06-21,600839,,14,68,115,strong
2023-06-21,601138,,13,82,115,strong
2023-06-26,600487,,13,57,115,strong
2023-06-26,002579,,13,63,115,strong
2023-06-26,002897,,14,79,115,strong
2023-06-26,002315,,13,60,115,strong
2023-06-26,603728,,14,94,115,strong
2023-06-26,688111,,13,83,115,strong
2023-06-26,000938,,13,81,115,strong
2023-06-26,600498,,13,58,115,strong
2023-06-26,300308,,14,88,115,strong
2023-06-26,688017,,14,88,115,strong
2023-06-26,600845,,13,84,115,strong
2023-06-26,000070,,14,52,115,strong
2023-06-26,002429,,14,60,115,strong
2023-06-26,002555,,14,56,115,strong
2023-06-26,002290,,14,92,115,strong
2023-06-26,600839,,13,57,115,strong
2023-06-27,002579,,13,56,115,strong
2023-06-27,002897,,14,59,115,strong
2023-06-27,603728,,14,88,115,strong
2023-06-27,603990,,13,72,115,strong
2023-06-27,688111,,13,83,115,strong
2023-06-27,000938,,13,83,115,strong
2023-06-27,600498,,13,54,115,strong
2023-06-27,300308,,14,89,115,strong
2023-06-27,002281,,14,89,115,strong
2023-06-27,000977,,14,84,115,strong
2023-06-27,600845,,13,81,115,strong
2023-06-27,000070,,13,63,115,strong
2023-06-27,002429,,14,60,115,strong
2023-06-27,002290,,13,92,115,strong
2023-06-27,600839,,14,57,115,strong
2023-06-27,600602,,14,84,115,strong
2023-06-28,002475,,12,85,115,strong
2023-06-28,688260,,14,74,115,strong
2023-06-28,603766,,14,69,115,strong
2023-06-28,002897,,14,58,115,strong
2023-06-28,688143,,14,94,115,strong
2023-06-28,600105,,14,56,115,strong
2023-06-28,601869,,14,83,115,strong
2023-06-28,603728,,14,89,115,strong
2023-06-28,603990,,13,57,115,strong
2023-06-28,000700,,14,67,115,strong
2023-06-28,300547,,14,70,115,strong
2023-06-28,688515,,14,82,115,strong
2023-06-28,300308,,13,87,115,strong
2023-06-28,002281,,14,88,115,strong
2023-06-28,600845,,13,83,115,strong
2023-06-28,300863,,14,56,115,strong
2023-06-28,002429,,14,58,115,strong
2023-06-28,603011,,13,75,115,strong
2023-06-28,000678,,14,83,115,strong
2023-06-28,601138,,14,74,115,strong
2023-06-29,301133,,14,60,115,strong
2023-06-29,603766,,14,65,115,strong
2023-06-29,300527,,13,68,115,strong
2023-06-29,600685,,14,88,115,strong
2023-06-29,688028,,14,63,115,strong
2023-06-29,600105,,14,54,115,strong
2023-06-29,300486,,14,82,115,strong
2023-06-29,600482,,13,87,115,strong
2023-06-29,603728,,14,89,115,strong
2023-06-29,000700,,14,63,115,strong
2023-06-29,300547,,14,77,115,strong
2023-06-29,688515,,14,84,115,strong
2023-06-29,300566,,14,76,115,strong
2023-06-29,300308,,13,57,115,strong
2023-06-29,300757,,14,55,115,strong
2023-06-29,002281,,14,87,115,strong
2023-06-29,600845,,13,82,115,strong
2023-06-29,688313,,13,57,115,strong
2023-06-29,002429,,14,58,115,strong
2023-06-29,603011,,13,84,115,strong
2023-06-29,000678,,14,92,115,strong
2023-06-30,603766,,14,63,115,strong
2023-06-30,600522,,14,64,115,strong
2023-06-30,688143,,13,93,115,strong
2023-06-30,603800,,14,78,115,strong
2023-06-30,301128,,14,59,115,strong
2023-06-30,688028,,14,62,115,strong
2023-06-30,603757,,14,90,115,strong
2023-06-30,603728,,14,95,115,strong
2023-06-30,688147,,14,58,115,strong
2023-06-30,300508,,14,62,115,strong
2023-06-30,000700,,14,68,115,strong
2023-06-30,002050,,13,83,115,strong
2023-06-30,300547,,14,82,115,strong
2023-06-30,300566,,14,70,115,strong
2023-06-30,600187,,13,63,115,strong
2023-06-30,300308,,13,57,115,strong
2023-06-30,603773,,14,82,115,strong
2023-06-30,300757,,14,52,115,strong
2023-06-30,603618,,14,65,115,strong
2023-06-30,601137,,14,88,115,strong
2023-06-30,000951,,14,90,115,strong
2023-06-30,688700,,14,93,115,strong
2023-06-30,002429,,14,58,115,strong
2023-06-30,603011,,13,83,115,strong
2023-06-30,002975,,13,78,115,strong
2023-07-03,002475,,14,91,115,strong
2023-07-03,300124,,14,83,115,strong
2023-07-03,301133,,13,59,115,strong
2023-07-03,603766,,13,58,115,strong
2023-07-03,600522,,14,76,115,strong
2023-07-03,688143,,13,93,115,strong
2023-07-03,603800,,13,92,115,strong
2023-07-03,301128,,14,60,115,strong
2023-07-03,600105,,14,54,115,strong
2023-07-03,300956,,14,70,115,strong
2023-07-03,601869,,13,67,115,strong
2023-07-03,688147,,14,62,115,strong
2023-07-03,603728,,14,89,115,strong
2023-07-03,603757,,14,82,115,strong
2023-07-03,603045,,14,67,115,strong
2023-07-03,000700,,14,68,115,strong
2023-07-03,002050,,13,59,115,strong
2023-07-03,300547,,14,82,115,strong
2023-07-03,300566,,14,75,115,strong
2023-07-03,600187,,14,62,115,strong
2023-07-03,300308,,14,58,115,strong
2023-07-03,603773,,14,93,115,strong
2023-07-03,300757,,13,55,115,strong
2023-07-03,688017,,14,59,115,strong
2023-07-03,002281,,14,58,115,strong
2023-07-03,603618,,13,68,115,strong
2023-07-03,601137,,14,86,115,strong
2023-07-03,000951,,14,95,115,strong
2023-07-03,688700,,14,93,115,strong
2023-07-03,600869,,14,63,115,strong
2023-07-03,300863,,13,59,115,strong
2023-07-03,688313,,13,57,115,strong
2023-07-03,002429,,14,64,115,strong
2023-07-03,603011,,13,69,115,strong
2023-07-03,601138,,14,55,115,strong
2023-07-04,600487,,14,72,115,strong
2023-07-04,688260,,13,90,115,strong
2023-07-04,300124,,13,83,115,strong
2023-07-04,301133,,14,88,115,strong
2023-07-04,601689,,14,74,115,strong
2023-07-04,603766,,13,56,115,strong
2023-07-04,002547,,14,85,115,strong
2023-07-04,600522,,14,72,115,strong
2023-07-04,688143,,13,93,115,strong
2023-07-04,301128,,14,63,115,strong
2023-07-04,603800,,14,89,115,strong
2023-07-04,688028,,14,90,115,strong
2023-07-04,600105,,14,57,115,strong
2023-07-04,301312,,14,94,115,strong
2023-07-04,603728,,13,88,115,strong
2023-07-04,300328,,14,74,115,strong
2023-07-04,300508,,14,60,115,strong
2023-07-04,603015,,14,89,115,strong
2023-07-04,000700,,14,73,115,strong
2023-07-04,300547,,13,92,115,strong
2023-07-04,688515,,13,94,115,strong
2023-07-04,000988,,14,58,115,strong
2023-07-04,300304,,13,59,115,strong
2023-07-04,300308,,14,58,115,strong
2023-07-04,603773,,14,89,115,strong
2023-07-04,688017,,14,59,115,strong
2023-07-04,002281,,14,58,115,strong
2023-07-04,603618,,14,64,115,strong
2023-07-04,300863,,13,62,115,strong
2023-07-04,688700,,14,89,115,strong
2023-07-04,600869,,14,59,115,strong
2023-07-04,002859,,14,70,115,strong
2023-07-04,002429,,14,64,115,strong
2023-07-04,603011,,13,67,115,strong
2023-07-05,002896,,13,62,115,choppy
2023-07-05,688260,,14,90,115,choppy
2023-07-05,300124,,13,81,115,choppy
2023-07-05,301133,,14,93,115,choppy
2023-07-05,603766,,13,54,115,choppy
2023-07-05,600522,,14,61,115,choppy
2023-07-05,688143,,14,94,115,choppy
2023-07-05,301128,,14,63,115,choppy
2023-07-05,603800,,14,91,115,choppy
2023-07-05,688028,,14,89,115,choppy
2023-07-05,301312,,14,88,115,choppy
2023-07-05,300956,,14,74,115,choppy
2023-07-05,688147,,13,89,115,choppy
2023-07-05,603728,,14,59,115,choppy
2023-07-05,300508,,14,59,115,choppy
2023-07-05,000700,,14,69,115,choppy
2023-07-05,688515,,14,84,115,choppy
2023-07-05,300304,,12,56,115,choppy
2023-07-05,300566,,14,73,115,choppy
2023-07-05,300308,,14,58,115,choppy
2023-07-05,603773,,14,91,115,choppy
2023-07-05,300757,,14,54,115,choppy
2023-07-05,603618,,14,56,115,choppy
2023-07-05,002281,,13,57,115,choppy
2023-07-05,601137,,14,84,115,choppy
2023-07-05,688700,,14,91,115,choppy
2023-07-05,600869,,13,65,115,choppy
2023-07-05,002859,,14,83,115,choppy
2023-07-05,002429,,14,64,115,choppy
2023-07-05,603011,,13,56,115,choppy
2023-07-06,001223,,13,82,115,choppy
2023-07-06,002896,,13,58,115,choppy
2023-07-06,688260,,13,84,115,choppy
2023-07-06,603766,,13,56,115,choppy
2023-07-06,600522,,14,54,115,choppy
2023-07-06,688143,,14,94,115,choppy
2023-07-06,688028,,14,90,115,choppy
2023-07-06,301312,,14,87,115,choppy
2023-07-06,603728,,14,59,115,choppy
2023-07-06,300508,,14,60,115,choppy
2023-07-06,000700,,13,68,115,choppy
2023-07-06,688515,,14,87,115,choppy
2023-07-06,300304,,13,58,115,choppy
2023-07-06,301419,,13,63,115,choppy
2023-07-06,300308,,14,58,115,choppy
2023-07-06,603773,,14,89,115,choppy
2023-07-06,301013,,14,64,115,choppy
2023-07-06,603618,,14,53,115,choppy
2023-07-06,002281,,13,63,115,choppy
2023-07-06,688700,,14,89,115,choppy
2023-07-06,600869,,13,61,115,choppy
2023-07-06,002859,,14,89,115,choppy
2023-07-06,300975,,13,67,115,choppy
2023-07-06,002429,,14,64,115,choppy
2023-07-06,603011,,14,54,115,choppy
2023-07-07,001223,,13,72,115,strong
2023-07-07,688260,,14,66,115,strong
2023-07-07,300124,,13,86,115,strong
2023-07-07,601689,,14,54,115,strong
2023-07-07,002547,,14,68,115,strong
2023-07-07,688143,,13,93,115,strong
2023-07-07,603800,,14,90,115,strong
2023-07-07,688028,,14,83,115,strong
2023-07-07,600105,,14,64,115,strong
2023-07-07,301312,,14,58,115,strong
2023-07-07,300486,,14,52,115,strong
2023-07-07,603728,,14,59,115,strong
2023-07-07,300328,,14,61,115,strong
2023-07-07,688515,,14,56,115,strong
2023-07-07,300304,,13,55,115,strong
2023-07-07,603663,,14,84,115,strong
2023-07-07,603773,,14,84,115,strong
