date,code,name,score_ml,total_score,max_score,market_state,signal_tier
2023-06-01,300184,,14,65,115,strong,1
2023-06-01,300975,,14,65,115,strong,1
2023-06-01,600150,,14,64,115,strong,1
2023-06-01,002475,,14,63,115,strong,1
2023-06-01,002429,,14,79,115,strong,1
2023-06-02,688143,,14,69,115,strong,1
2023-06-02,300184,,14,74,115,strong,1
2023-06-02,300975,,14,58,115,strong,1
2023-06-02,002475,,14,64,115,strong,1
2023-06-02,688521,,14,64,115,strong,1
2023-06-02,002429,,14,81,115,strong,1
2023-06-02,688597,,14,57,115,strong,1
2023-06-02,002806,,14,63,115,strong,1
2023-06-02,600237,,14,60,115,strong,1
2023-06-02,000636,,14,63,115,strong,1
2023-06-02,300548,,14,62,115,strong,1
2023-06-02,300308,,14,92,115,strong,1
2023-06-02,002281,,14,86,115,strong,1
2023-06-05,300184,,14,71,115,strong,1
2023-06-05,300975,,14,86,115,strong,1
2023-06-05,002429,,14,81,115,strong,1
2023-06-05,300308,,14,94,115,strong,1
2023-06-05,002281,,14,88,115,strong,1
2023-06-05,688521,,14,56,115,strong,1
2023-06-05,300709,,14,56,115,strong,1
2023-06-06,300184,,14,66,115,strong,1
2023-06-06,300975,,14,86,115,strong,1
2023-06-06,002429,,14,81,115,strong,1
2023-06-06,300308,,14,88,115,strong,1
2023-06-06,002281,,14,88,115,strong,1
2023-06-07,002429,,14,83,115,strong,1
2023-06-07,300308,,14,88,115,strong,1
2023-06-07,002281,,14,88,115,strong,1
2023-06-07,300184,,14,63,115,strong,1
2023-06-07,300975,,14,85,115,strong,1
2023-06-07,603990,,14,69,115,strong,1
2023-06-08,301013,,14,89,115,strong,1
2023-06-08,002429,,14,83,115,strong,1
2023-06-08,300308,,14,88,115,strong,1
2023-06-08,300184,,14,60,115,strong,1
2023-06-08,300975,,14,80,115,strong,1
2023-06-08,301139,,14,87,115,strong,1
2023-06-09,301013,,14,89,115,strong,1
2023-06-09,002429,,14,75,115,strong,1
2023-06-09,300308,,14,88,115,strong,1
2023-06-09,002281,,14,94,115,strong,1
2023-06-09,300975,,14,77,115,strong,1
2023-06-09,301139,,14,87,115,strong,1
2023-06-09,688229,,14,63,115,strong,1
2023-06-09,600667,,14,53,115,strong,0
2023-06-12,688313,,14,94,115,strong,1
2023-06-12,002429,,14,81,115,strong,1
2023-06-12,300308,,14,94,115,strong,1
2023-06-12,002281,,14,94,115,strong,1
2023-06-12,301139,,14,85,115,strong,1
2023-06-12,300975,,14,72,115,strong,1
2023-06-12,603990,,14,73,115,strong,1
2023-06-13,688313,,14,94,115,strong,1
2023-06-13,002429,,14,80,115,strong,1
2023-06-13,300308,,14,94,115,strong,1
2023-06-13,002281,,14,94,115,strong,1
2023-06-13,301139,,14,80,115,strong,1
2023-06-13,300975,,14,72,115,strong,1
2023-06-13,300419,,14,58,115,strong,1
2023-06-13,300184,,14,65,115,strong,1
2023-06-13,603990,,14,66,115,strong,1
2023-06-14,002429,,14,71,115,strong,1
2023-06-14,300308,,14,94,115,strong,1
2023-06-14,300184,,14,67,115,strong,1
2023-06-14,300975,,14,68,115,strong,1
2023-06-14,301139,,14,82,115,strong,1
2023-06-14,300419,,14,57,115,strong,1
2023-06-14,002301,,14,62,115,strong,1
2023-06-14,300352,,14,62,115,strong,1
2023-06-14,688031,,14,62,115,strong,0
2023-06-15,301013,,14,62,115,strong,1
2023-06-15,002429,,14,67,115,strong,1
2023-06-15,300308,,14,94,115,strong,1
2023-06-15,002281,,14,94,115,strong,1
2023-06-15,300184,,14,67,115,strong,1
2023-06-15,300975,,14,63,115,strong,1
2023-06-15,300419,,14,72,115,strong,1
2023-06-15,000925,,14,64,115,strong,1
2023-06-15,300085,,14,56,115,strong,1
2023-06-15,601811,,10,53,115,strong,0
2023-06-15,300747,,14,68,115,strong,0
2023-06-16,002429,,14,62,115,strong,1
2023-06-16,300308,,14,94,115,strong,1
2023-06-16,600487,,14,64,115,strong,1
2023-06-16,300975,,14,58,115,strong,1
2023-06-16,300419,,14,71,115,strong,1
2023-06-16,300184,,14,66,115,strong,1
2023-06-16,000925,,14,63,115,strong,1
2023-06-16,002290,,14,64,115,strong,0
2023-06-19,301013,,14,59,115,strong,1
2023-06-19,002429,,14,61,115,strong,1
2023-06-19,300308,,14,94,115,strong,1
2023-06-19,300184,,14,67,115,strong,1
2023-06-19,300975,,14,58,115,strong,1
2023-06-19,301139,,14,66,115,strong,1
2023-06-19,300419,,14,69,115,strong,1
2023-06-19,002301,,14,74,115,strong,1
2023-06-19,300352,,14,67,115,strong,1
2023-06-19,300042,,7,81,115,strong,0
2023-06-20,300285,,14,65,115,strong,1
2023-06-20,301013,,14,59,115,strong,1
2023-06-20,002429,,14,68,115,strong,1
2023-06-20,300308,,14,94,115,strong,1
2023-06-20,600487,,14,64,115,strong,1
2023-06-20,300184,,14,66,115,strong,1
2023-06-20,002851,,14,93,115,strong,1
2023-06-20,688256,,7,86,115,strong,0
2023-06-20,000727,,14,58,115,strong,1
